Animal,Sleep,BodyWt,LifeSpan,Gestation,Danger
African elephant,3.3,6654,38.6,645,3
African giant pouched rat,8.3,1,4.5,42,3
Arctic fox,12.5,3.385,14,60,1
Asian elephant,3.9,2547,69,624,4
Baboon,9.8,10.55,27,180,4
Big brown bat,19.7,0.023,19,35,1
Brazilian tapir,6.2,160,30.4,392,4
Cat,14.5,3.3,28,63,1
Chimpanzee,9.7,52.16,50,230,1
Chinchilla,12.5,0.425,7,112,4
Cow,3.9,465,30,281,5
Donkey,3.1,187.1,40,365,5
Eastern American mole,8.4,0.075,3.5,42,1
Echidna,8.6,3,50,28,2
European hedgehog,10.7,0.785,6,42,2
Galago,10.7,0.2,10.4,120,2
Goat,3.8,27.66,20,148,5
Golden hamster,14.4,0.12,3.9,16,2
Gorilla,12,207,39.3,252,1
Grayseal,6.2,85,41,310,1
Graywolf,13,36.33,16.2,63,1
Ground squirrel,13.8,0.101,9,28,3
Guinea pig,8.2,1.04,7.6,68,4
Horse,2.9,521,46,336,5
Jaguar,10.8,100,22.4,100,1
Lesser short-tailed shrew,9.1,0.005,2.6,21.5,4
Little brown bat,19.9,0.01,24,50,1
Man,8,62,100,267,1
Mouse,13.2,0.023,3.2,19,3
Musk shrew,12.8,0.048,2,30,3
North American opossum,19.4,1.7,5,12,1
Nine-banded armadillo,17.4,3.5,6.5,120,1
Owl monkey,17,0.48,12,140,2
Patas monkey,10.9,10,20.2,170,4
Phanlanger,13.7,1.62,13,17,2
Pig,8.4,192,27,115,4
Rabbit,8.4,2.5,18,31,5
Raccoon,12.5,4.288,13.7,63,2
Rat,13.2,0.28,4.7,21,3
Red fox,9.8,4.235,9.8,52,1
Rhesus monkey,9.6,6.8,29,164,2
Rock hyrax (Hetero. b),6.6,0.75,7,225,2
Rock hyrax (Procavia hab),5.4,3.6,6,225,3
Roe deer,2.6,14.83,17,150,5
Sheep,3.8,55.5,20,151,5
Slow loris,11,1.4,12.7,90,2
Tenrec,13.3,0.9,4.5,60,2
Tree hyrax,5.4,2,7.5,200,3
Tree shrew,15.8,0.104,2.3,46,2
Vervet,10.3,4.19,24,210,4
Water opossum,19.4,3.5,3,14,1
